"","authors","Published.Year","journal","title","DOI","Country","DiversityMetric","PollutantName","PollutantType","PollutionSource","TaxaGroupAtlas","System","OtherBiodiversity","EcosystemFunction","Multidrivers"
"178","Feketeova, Z.; Sladkovicova, V. H.; Mangova, B.; Simkovic, I.",2015,"Environmental Science and Pollution Research","Biological activity of the metal-rich post-flotation tailings at an abandoned mine tailings pond (four decades after experimental afforestation)","10.1007/s11356-015-4489-4","Slovakia","shannons","Ba, Cd, Cu, Pb, Zn","Metals","","Acari","Others","microbes","one","no"
"181","Esher, R. J.; Marx, D. H.; Ursic, S. J.; Baker, R. L.; Brown, L. R.; Coleman, D. C.",1992,"Water Air and Soil Pollution","SIMULATED ACID-RAIN EFFECTS ON FINE ROOTS, ECTOMYCORRHIZAE, MICROORGANISMS, AND INVERTEBRATES IN PINE FORESTS OF THE SOUTHERN UNITED-STATES","10.1007/bf00482610","USA","abundance","Al, Mg, Ca and N","Metals","Others","Acari,Earthworms","Wetlands","microbes","one","yes"
"188","Duncan, K.; Jennings, E.; Buck, P.; Wells, H.; Kolhatkar, R.; Sublette, K.; Potter, W. T.; Todd, T.",2003,"Soil & Sediment Contamination","Multi-species ecotoxicity assessment of petroleum-contaminated soil","10.1080/713610969","USA","abundance,shannons","crude oil","PAH (Polycyclic aromatic hydrocarbons)","Others","Nematodes",NA,"plants,microbes","one","no"
"191","De Silva, Rmcs; Asoka, P.; van Straalen, N. M.; van Gestel, C. A. M.",2010,"Environmental Pollution","Chlorpyrifos causes decreased organic matter decomposition by suppressing earthworm and termite communities in tropical soil","10.1016/j.envpol.2010.06.032","Sri Lanka","abundance,biomass","chlorpyrifos","Pesticides","Agricultural/livestock","Termites,Earthworms","Cropland","no","one","no"
"210","Garcia-Perez, J. A.; Alarcon-Gutierrez, E.; Perroni, Y.; Barois, I.",2014,"Applied Soil Ecology","Earthworm communities and soil properties in shaded coffee plantations with and without application of glyphosate","10.1016/j.apsoil.2013.09.006","Mexico","abundance,biomass,richness","herbicide: glyphosate","Pesticides","Agricultural/livestock","Earthworms","Woodland","no","several","no"
"211","Gan, H. J.; Wickings, K.",2017,"Agriculture Ecosystems & Environment","Soil ecological responses to pest management in golf turf vary with management intensity, pesticide identity, and application program","10.1016/j.agee.2017.05.014","USA","abundance,richness","several","Pesticides","Others","Acari,Collembola,Isopoda,Myriapoda,Coleoptera,Arachnida (spiders and scorpions)","Grassland","microbes","several","no"
"218","Forster, B.; Garcia, M.; Francimari, O.; Rombke, J.",2006,"European Journal of Soil Biology","Effects of carbendazim and lambda-cyhalothrin on soil invertebrates and leaf litter decomposition in semi-field and field tests under tropical conditions (Amazonia, Brazil)","10.1016/j.ejsobi.2006.07.011","Brazil","abundance,biomass","insecticide, fungicide","Pesticides","Agricultural/livestock","Isopoda,Myriapoda,Earthworms,Mesofauna","Cropland","no","one","no"
"219","Forster, B.; Boxall, A.; Coors, A.; Jensen, J.; Liebig, M.; Pope, L.; Moser, T.; Rombke, J.",2011,"Ecotoxicology","Fate and effects of ivermectin on soil invertebrates in terrestrial model ecosystems","10.1007/s10646-010-0575-z","England","abundance,biomass","ivremectin","Pharmaceuticals","Agricultural/livestock","Nematodes,Enchytraeids,Acari,Collembola,Earthworms","Grassland","microbes","one","no"
"234","Hui, N.; Selonen, S.; Hanzel, J.; Tuomela, M.; Rainio, A.; Kontio, H.; Hakala, K.; Lankinen, P.; Steffen, K.; Fingerroos, T.; Strommer, R.; Setala, H.; Hatakka, A.; Romantschuk, M.",2009,"Boreal Environment Research","Influence of lead on organisms within the detritus food web of a contaminated pine forest soil","","Finland","abundance,biomass","Pb","Metals","Military/wars","Enchytraeids","Woodland","plants,microbes","one","no"
"238","Hobbelen, P. H. F.; van den Brink, P. J.; Hobbelen, J. F.; van Gestel, C. A. M.",2006,"Soil Biology & Biochemistry","Effects of heavy metals on the structure and functioning of detritivore communities in a contaminated floodplain area","10.1016/j.soilbio.2005.11.010","The Netherlands","abundance,richness","Cd, Cu, Pb, Zn","Metals","Others","Isopoda,Myriapoda,Earthworms","Wetlands","no","one","no"
"239","Hinojosa, M. B.; Carreira, J. A.; Garcia-Ruiz, R.; Rodriguez-Maroto, J. M.; Daniell, T. J.; Griffiths, B. S.",2010,"Ecotoxicology and Environmental Safety","Plant treatment, pollutant load, and soil type effects in rhizosphere ecology of trace element polluted soils","10.1016/j.ecoenv.2010.01.013","","abundance","Cd, Cu, Pb, Zn","Metals","Mining/Smelting","Nematodes",NA,"microbes","several","no"
"241","Huuselaveistola, E.; Kurppa, S.; Pihlava, J. M.",1994,"Agricultural Science in Finland","EFFECTS OF FENVALERATE AND PERMETHRIN ON SOIL ARTHROPODS AND ON RESIDUES IN AND DECOMPOSITION OF BARLEY STRAW","10.23986/afsci.72697","Finland","abundance","insecticides","Pesticides","Agricultural/livestock","Nematodes,Enchytraeids,Acari,Collembola,Coleoptera","Cropland","aboveground invertebrates
","one","yes"
"242","Atwood, L. W.; Mortensen, D. A.; Koide, R. T.; Smith, R. G.",2018,"Soil Biology & Biochemistry","Evidence for multi-trophic effects of pesticide seed treatments on non targeted soil fauna","10.1016/j.soilbio.2018.07.007","USA","abundance,richness,shannons,others","fungicide: captan
","Pesticides","Agricultural/livestock","Acari,Collembola,Diplura,Myriapoda,Earthworms,Coleoptera,Arachnida (spiders and scorpions),Larvae","Cropland","no","several","no"
