,authors,Published.Year,journal,title,DOI,Country,DiversityMetric,PollutantName,PollutantType,PollutionSource,TaxaGroupAtlas,System,OtherBiodiversity,EcosystemFunction,Multidrivers
58,"Salamun, P.; Hanzelova, V.; Miklisova, D.; Sestinova, O.; Findorakova, L.; Kovacik, P.",2017,Science of the Total Environment,The effects of vegetation cover on soil nematode communities in various biotopes disturbed by industrial emissions,10.1016/j.scitotenv.2017.02.238,Slovakia,"abundance,richness,shannons,others","As,Cd,Cu,Pb",Metals,Mining/Smelting,Nematodes,"Cropland,Woodland,Grassland",plants,none,yes
65,"Santorufo, L.; Cortet, J.; Arena, C.; Goudon, R.; Rakoto, A.; Morel, J. L.; Maisto, G.",2014,Applied Soil Ecology,An assessment of the influence of the urban environment on collembolan communities in soils using taxonomy- and trait-based approaches,10.1016/j.apsoil.2014.02.008,Italy,"abundance,richness,shannons,evenness","Cd, Cr, Cu, Ni, Pb, Zn",Metals,Urban/transport,Collembola,Others,plants,none,no
70,"Visioli, G.; Menta, C.; Gardi, C.; Conti, F. D.",2013,Chemosphere,Metal toxicity and biodiversity in serpentine soils: Application of bioassay tests and microarthropod index,10.1016/j.chemosphere.2012.09.081,Italy,"abundance,shannons,evenness","Ni, Fe, Co",Metals,Natural/geogenic,"Acari,Collembola,Protura,Diplura,Pseudoscorpions,Isopoda,Myriapoda,Coleoptera,Arachnida (spiders and scorpions),Larvae,Others",,plants,none,no
72,"Vincent, Q.; Auclerc, A.; Beguiristain, T.; Leyval, C.",2018,Science of the Total Environment,"Assessment of derelict soil quality: Abiotic, biotic and functional approaches",10.1016/j.scitotenv.2017.09.118,France,"abundance,richness,shannons,others","PAH, Cd, Zn, Pb","Metals,PAH (Polycyclic aromatic hydrocarbons)",Industrial,"Collembola,Pseudoscorpions,Isopoda,Myriapoda,Earthworms,Coleoptera,Arachnida (spiders and scorpions),Larvae,Others","Artifical land (e.g. yards, cemeteries, parkings, open dump sites)","plants,microbes",several,no
82,"Coyle, D. R.; Zalesny, J. A.; Zalesny, R. S.; Wiese, A. H.",2011,International Journal of Phytoremediation,IRRIGATING POPLAR ENERGY CROPS WITH LANDFILL LEACHATE NEGATIVELY AFFECTS SOIL MICRO- AND MESO-FAUNA,10.1080/15226514.2011.552927,USA,shannons,salt: chloride and sodium,Others,Waste/sewage,"Nematodes,Others",Woodland,plants,none,no
84,"Todd, T. C.; James, S. W.; Seastedt, T. R.",1992,Plant and Soil,SOIL INVERTEBRATE AND PLANT-RESPONSES TO MOWING AND CARBOFURAN APPLICATION IN A NORTH-AMERICAN TALLGRASS PRAIRIE,10.1007/bf00018852,USA,abundance,insecticide: carbofuran,Pesticides,Agricultural/livestock,"Nematodes,Earthworms,Macroarthropods",Grassland,plants,none,yes
87,"Cotrufo, M. F.; Soong, J.; Vandegehuchte, M. L.; Nguyen, T.; Denef, K.; Shaw, E. A.; Sylvain, Z. A.; de Tomasel, C. M.; Nielsen, U. N.; Wall, D. H.",2014,Applied Soil Ecology,Naphthalene addition to soil. surfaces: A feasible method to reduce soil micro-arthropods with negligible direct effects on soil C dynamics,10.1016/j.apsoil.2013.09.008,USA,abundance,naphtalene,PAH (Polycyclic aromatic hydrocarbons),Others,"Nematodes,Acari,Collembola",Grassland,microbes,one,no
88,"Sublette, K.; Jennings, E.; Mehta, C.; Duncan, K.; Brokaw, J.; Todd, T.; Thoma, G.",2007,Soil & Sediment Contamination,Monitoring soil ecosystem recovery following bioremediation of a terrestrial crude oil spill with and without a fertilizer amendment,10.1080/15320380601166470,USA,abundance,crude oil (hydrocarbons),PAH (Polycyclic aromatic hydrocarbons),"Industrial,Others",Nematodes,Grassland,"plants,microbes",none,yes
96,"Speir, T. W.; Ross, D. J.; Feltham, C. W.; Orchard, V. A.; Yeates, G. W.",1992,Plant and Soil,"ASSESSMENT OF THE FEASIBILITY OF USING CCA (COPPER, CHROMIUM AND ARSENIC) TREATED AND BORIC-ACID TREATED SAWDUST AS SOIL AMENDMENTS .2. SOIL BIOCHEMICAL AND BIOLOGICAL PROPERTIES",10.1007/bf00010970,NA,abundance,"Cr,Cu,As",Metals,Agricultural/livestock,Nematodes,NA,microbes,none,yes
100,"Zaller, J. G.; Cantelmo, C.; Dos Santos, G.; Muther, S.; Gruber, E.; Pallua, P.; Mandl, K.; Friedrich, B.; Hofstetter, I.; Schmuckenschlager, B.; Faber, F.",2018,Environmental Science and Pollution Research,"Herbicides in vineyards reduce grapevine root mycorrhization and alter soil microorganisms and the nutrient composition in grapevine roots, leaves, xylem sap and grape juice",10.1007/s11356-018-2422-3,Austria,abundance,"herbicides: glyphosate,flazasulfuron,glufosinate",Pesticides,Agricultural/livestock,Earthworms,Cropland,"plants,microbes",one,no
102,"Yin, X. Q.; Ma, C.; He, H. S.; Wang, Z. H.; Li, X. Q.; Fu, G. Q.; Liu, J.; Zheng, Y. M.",2018,Applied Soil Ecology,"Distribution and diversity patterns of soil fauna in different salinization habitats of Songnen Grasslands, China",10.1016/j.apsoil.2017.09.034,China,"abundance,richness",salt,Others,Agricultural/livestock,"Acari,Collembola,Ants,Isopoda,Myriapoda,Coleoptera,Arachnida (spiders and scorpions),Gastropoda (slugs and snails),Larvae,Others",Grassland,plants,none,no
