"","authors","Published.Year","journal","title","DOI","Country","DiversityMetric","PollutantName","PollutantType","PollutionSource","TaxaGroupAtlas","System","OtherBiodiversity","EcosystemFunction","Multidrivers","ClimateChange","Nutrient","LandUse","Intensification","Fragmentation.Loss","Invasives"
"154","Overstreet, L. F.; Hoyt, G. D.; Imbriani, J.",2010,"Soil & Tillage Research","Comparing nematode and earthworm communities under combinations of conventional and conservation vegetable production practices","10.1016/j.still.2010.06.009","USA","abundance","glyphosate and methyl bromide (67%) + chloropicrin (33%).","Pesticides","Agricultural/livestock","Nematodes,Earthworms","Cropland","no","none","yes",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"161","Osler, G. H. R.; Westhorpe, D.; Oliver, I.",2001,"Applied Soil Ecology","The short-term effects of endosulfan discharges on eucalypt floodplain soil microarthropods","10.1016/s0929-1393(00)00127-x","Australia","abundance","insecticide:endosulfan","Pesticides","Agricultural/livestock","Acari,Collembola,Others","Wetlands","no","none","yes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"162","Paoletti, M. G.; Sommaggio, D.; Favretto, M. R.; Petruzzelli, G.; Pezzarossa, B.; Barbafieri, M.",1998,"Applied Soil Ecology","Earthworms as useful bioindicators of agroecosystem sustainability in orchards and vineyards with different inputs","10.1016/s0929-1393(98)00036-5","Italy","abundance,biomass","Cu,Zn","Metals","Agricultural/livestock","Earthworms","Others","no","none","yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"163","Paoletti, M. G.; Schweigl, U.; Favretto, M. R.",1995,"Pedobiologia","SOIL MACROINVERTEBRATES, HEAVY-METALS AND ORGANOCHLORINES IN LOW AND HIGH INPUT APPLE ORCHARDS AND A COPPICED WOODLAND","","Italy","abundance, richness","Cu, DDT, DDE, metossichlor, dicofol","Metals,Pesticides","Agricultural/livestock","Isopoda,Myriapoda,Earthworms,Coleoptera,Arachnida (spiders and scorpions),Others","Cropland,Woodland","no","none","yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"164","Caixeta, L. B.; Pereira, T. J.; Castaneda, N. E. N.; Cares, J. E.",2016,"Nematology","Nematode communities as indicators of the status of a soil ecosystem influenced by mining practices in Brazil","10.1163/15685411-00002958","Brazil","abundance","","Metals","Mining/Smelting","Nematodes","Woodland,Grassland","no","none","yes",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"167","Carron, M. P.; Auriac, Q.; Snoeck, D.; Villenave, C.; Blanchart, E.; Ribeyre, F.; Marichal, R.; Darminto, M.; Caliman, J. P.",2016,"European Journal of Soil Biology","Do the impact of organic residues on soil quality extend beyond the deposition area under oil palm?","10.1016/j.ejsobi.2016.04.011","Indonesia","abundance,biomass,shannons,evenness","herbicides: paraquat dichloride, metsulfuronmethyl
","Pesticides","Agricultural/livestock","Nematodes,Acari,Ants,Isopoda,Myriapoda,Earthworms,Coleoptera,Arachnida (spiders and scorpions),Gastropoda (slugs and snails),Others","Cropland","no","none","yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"168","Carron, M. P.; Auriac, Q.; Snoeck, D.; Villenave, C.; Blanchart, E.; Ribeyre, F.; Marichal, R.; Darminto, M.; Caliman, J. P.",2015,"European Journal of Soil Biology","Spatial heterogeneity of soil quality around mature oil palms receiving mineral fertilization","10.1016/j.ejsobi.2014.11.005","Indonesia","abundance,biomass,shannons,evenness","herbicides: paraquat dichloride, metsulfuronmethyl
","Pesticides","Agricultural/livestock","Nematodes,Acari,Ants,Isopoda,Myriapoda,Earthworms,Coleoptera,Arachnida (spiders and scorpions),Gastropoda (slugs and snails),Others","Cropland","no","none","yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"169","Carrascosa, M.; Sanchez-Moreno, S.; Alonso-Prados, J. L.",2015,"Nematology","Effects of organic and conventional pesticides on plant biomass, nematode diversity and the structure of the soil food web","10.1163/15685411-00002849","Spain","richness,shannons","Nematicides","Pesticides","Agricultural/livestock","Nematodes","Others","no","one","yes",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"170","Carrascosa, M.; Sanchez-Moreno, S.; Alonso-Prados, J. L.",2014,"European Journal of Soil Biology","Relationships between nematode diversity, plant biomass, nutrient cycling and soil suppressiveness in fumigated soils","10.1016/j.ejsobi.2014.02.009","Spain","richness, shannon, abundance","1,3-dichloropropene and chloropicrin","Pesticides","Agricultural/livestock","Tardigrades,Nematodes","Cropland,Woodland","no","several","yes",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"181","Esher, R. J.; Marx, D. H.; Ursic, S. J.; Baker, R. L.; Brown, L. R.; Coleman, D. C.",1992,"Water Air and Soil Pollution","SIMULATED ACID-RAIN EFFECTS ON FINE ROOTS, ECTOMYCORRHIZAE, MICROORGANISMS, AND INVERTEBRATES IN PINE FORESTS OF THE SOUTHERN UNITED-STATES","10.1007/bf00482610","USA","abundance","Al, Mg, Ca and N","Metals","Others","Acari,Earthworms","Wetlands","microbes","one","yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
